material_id,formula,chemsys,elements,nelements,nsites,volume,density,crystal_system,spacegroup_symbol,spacegroup_number,band_gap,is_gap_direct,is_metal,efermi,e_electronic,e_ionic,e_total,n_refractive,weighted_work_function,weighted_surface_energy,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,equilibrium_reaction_energy_per_atom,total_magnetization,total_magnetization_normalized_vol,ordering,num_magnetic_sites,bulk_modulus_vrh,shear_modulus_vrh,universal_anisotropy,homogeneous_poisson,theoretical,deprecated,has_props,possible_species,database_IDs,site_density,is_pv_candidate,is_ibsc_candidate,is_pv_candidate_amp,is_ibsc_candidate_amp,near_hull,gap_category,has_dielectric_data,has_elastic_data,has_experimental_ref,task_ids,regime_calc,estrutura_esperada,usar_em_analise,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
mp-1215443,ZnGaPS,Ga-P-S-Zn,"['Ga', 'P', 'S', 'Zn']",4,4,82.52967541505649,3.987296575491632,Trigonal,R3m,160,1.67,True,False,2.83613617,,,,,,,-10.059661933928572,-0.712288910375745,0.02351833142857,False,,0.0009517,1.153160963270157e-05,NM,0,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['P3-', 'Ga3+', 'Zn2+', 'S2-']",{},0.0484674146588276,True,False,True,True,True,Janela PV (1.0–1.8 eV),False,False,False,"['mp-1443976', 'mp-2336994', 'mp-1800949', 'mp-1215443', 'mp-1613141', 'mp-1764474', 'mp-2084869']",GGA,relacionada,True,15.0,31.0,16.0,23.0,7.5,15.0,69.0,88.0,19.0,78.5,7.0,69.0,30.973762,69.723,38.749238,49.5354405,18.016059499999997,30.973762,302.91,692.68,389.7699999999999,425.3125,133.68374999999997,302.91,12.0,16.0,4.0,14.0,1.5,12.0,3.0,4.0,1.0,3.5,0.5,3.0,105.0,122.0,17.0,114.0,8.0,105.0,1.65,2.58,0.9300000000000002,2.0575,0.3275,1.65,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,1.5,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0,9.0,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,1.5,0.0,13.96,25.786875,11.826874999999998,20.2936532738,3.884903273799999,13.96,0.0,2.202,2.202,0.95675,0.95675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,194.0,192.0,82.5,55.75,2.0
mp-1217996,TaCu3Se3S,Cu-S-Se-Ta,"['Cu', 'S', 'Se', 'Ta']",4,8,181.91888742427204,5.846707643517421,Trigonal,R3m,160,1.6491,False,False,2.81235618,,,,,,,-5.629699175,-0.7809892127330721,0.0,True,-0.000703551249999,0.000107699999999,5.920220903111702e-07,NM,0,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Ta5+', 'Cu+', 'Se2-', 'S2-']",{},0.0439756427343487,True,False,True,True,True,Janela PV (1.0–1.8 eV),False,False,False,"['mp-1789640', 'mp-2094241', 'mp-1620027', 'mp-2767881', 'mp-1394067', 'mp-2305490', 'mp-1755013', 'mp-1217996']",GGA,relacionada,True,16.0,73.0,57.0,34.75,9.5625,29.0,48.0,89.0,41.0,74.375,14.375,64.0,32.065,180.94788,148.88288,80.06636,25.220380000000002,63.546,388.36,3290.0,2901.64,1154.20875,686.6187500000001,494.0,5.0,16.0,11.0,12.75,3.25,11.0,3.0,6.0,3.0,4.125,0.46875,4.0,105.0,170.0,65.0,128.875,12.625,120.0,1.5,2.58,1.08,2.17875,0.37875,1.9,1.0,2.0,1.0,1.625,0.46875,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,7.875,3.1875,10.0,0.0,14.0,14.0,1.75,3.0625,0.0,6.0,19.0,13.0,13.25,3.5,11.0,0.0,1.0,1.0,0.375,0.46875,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,7.0,7.0,0.875,1.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.25,1.1875,1.0,11.07,25.92,14.850000000000001,19.359609375,6.527109375,11.07,0.0,2.202,2.202,0.574875,0.574875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,127.0,99.0,14.0
mp-1226798,CdIn4As4S,As-Cd-In-S,"['As', 'Cd', 'In', 'S']",4,10,291.15516699116034,5.15253818372345,Trigonal,R3m,160,0.0099,True,False,3.43760443,,,,,,,-3.8196412719999993,-0.338181971416666,0.0103115375,False,,0.000130899999999,4.495884491858397e-07,NM,0,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['As3-', 'Cd2+', 'S2-', 'In3+']",{},0.034345947225809,False,False,False,False,True,Gap estreito (<0.7 eV),False,False,False,"['mp-1226798', 'mp-1806455']",GGA,relacionada,True,16.0,49.0,33.0,39.2,9.6,33.0,70.0,88.0,18.0,79.4,5.4,75.0,32.065,114.818,82.753,90.34344000000002,23.99316,74.9216,388.36,1090.0,701.64,706.158,307.0736,429.75,12.0,16.0,4.0,14.0,1.2,13.0,3.0,5.0,2.0,4.4,0.6,4.0,105.0,144.0,39.0,129.3,13.1,119.0,1.69,2.58,0.8900000000000001,2.011,0.24900000000000005,1.78,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,1.2,1.0,0.0,10.0,10.0,9.0,1.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,13.0,1.6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.4,1.28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.4,1.28,3.0,19.495,25.786875,6.291874999999997,23.102187500000003,1.4631875,22.175,0.0,2.202,2.202,0.2202,0.39636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,148.4,23.2,139.0
mp-1226842,CdGa4As4S,As-Cd-Ga-S,"['As', 'Cd', 'Ga', 'S']",4,10,242.0519480621983,4.960340489259347,Trigonal,R3m,160,0.173799999999999,True,False,2.650275869999999,,,,,,,-4.029825988000001,-0.440797775749999,0.009775825499999,False,,0.000259699999999,1.072910183450648e-06,NM,0,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['As3-', 'Cd2+', 'Ga3+', 'S2-']",{},0.0413134456469252,False,False,False,False,True,Gap estreito (<0.7 eV),False,False,False,"['mp-1860700', 'mp-1226842']",GGA,relacionada,True,16.0,48.0,32.0,32.0,4.0,31.0,70.0,88.0,18.0,79.0,5.8,74.0,32.065,112.411,80.346,72.30544,10.11404,69.723,302.91,1090.0,787.0899999999999,655.422,347.6624,302.91,12.0,16.0,4.0,14.0,1.2,13.0,3.0,5.0,2.0,4.0,0.2,4.0,105.0,144.0,39.0,121.3,5.1,119.0,1.69,2.58,0.8900000000000001,2.0229999999999997,0.23700000000000004,1.81,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,1.2,1.0,0.0,10.0,10.0,9.0,1.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,13.0,1.6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.4,1.28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.4,1.28,3.0,18.8575,25.786875,6.929374999999997,20.9411875,1.9561874999999993,18.8575,0.0,2.202,2.202,0.2202,0.39636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,118.4,53.2,64.0
mp-561350,AlBiSCl4,Al-Bi-Cl-S,"['Al', 'Bi', 'Cl', 'S']",4,28,835.8509015210963,3.256818015369465,Tetragonal,I-4,82,2.8305,False,False,0.03447033,,,,,,,-4.318524574642857,-1.580356138571429,0.0,True,-0.022863826785712,0.0,0.0,NM,0,,,,,False,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Cl-', 'S2-', 'Al3+', 'Bi3+']",{'icsd': ['icsd-414154']},0.033498797392029,False,False,False,True,True,IBSC ampliado superior (2.6–3.2 eV),False,False,True,"['mp-1257235', 'mp-1256337', 'mp-561350', 'mp-1897078', 'mp-709378', 'mp-1252706', 'mp-1724709', 'mp-845186', 'mp-843475', 'mp-1401849', 'mp-667961']",GGA,kesterita,True,13.0,83.0,70.0,25.714285714285715,16.367346938775512,17.0,73.0,94.0,21.0,89.0,5.714285714285714,94.0,26.9815386,208.9804,181.9988614,58.5484198,42.98056577142857,35.453,171.6,933.47,761.87,364.6614285714286,220.6416326530612,171.6,13.0,17.0,4.0,16.0,1.1428571428571428,17.0,3.0,6.0,3.0,3.4285714285714284,0.7346938775510203,3.0,102.0,148.0,46.0,111.71428571428571,13.020408163265303,102.0,1.61,3.16,1.55,2.692857142857143,0.5338775510204082,3.16,2.0,2.0,0.0,2.0,0.0,2.0,1.0,5.0,4.0,4.0,1.1428571428571428,5.0,0.0,10.0,10.0,1.4285714285714286,2.4489795918367347,0.0,0.0,14.0,14.0,2.0,3.4285714285714284,0.0,3.0,29.0,26.0,9.428571428571429,5.591836734693878,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.1428571428571428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.1428571428571428,1.0,16.48,32.95,16.470000000000002,24.743839285714284,2.642627551020408,24.4975,0.0,2.493,2.493,1.739142857142857,0.9937959183673469,2.493,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,80.42857142857143,41.30612244897959,64.0
mp-866713,ReTeSCl4,Cl-Re-S-Te,"['Cl', 'Re', 'S', 'Te']",4,28,843.5598267049858,3.840004270089397,Tetragonal,I-4,82,2.3274,False,False,0.630814,,,,,,,-4.936351268571428,-1.061638552380952,0.0,True,-0.021152031335031,0.002598,3.079805270182202e-06,NM,0,,,,,False,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Re5+', 'Te+', 'S2-', 'Cl-']",{'icsd': ['icsd-165333']},0.0331926664992693,False,True,False,True,True,Janela IBSC (1.8–2.6 eV),False,False,True,"['mp-866743', 'mp-866735', 'mp-866713', 'mp-1737700', 'mp-866751', 'mp-1406879', 'mp-1895240']",GGA,kesterita,True,16.0,75.0,59.0,30.142857142857142,19.061224489795922,17.0,54.0,94.0,40.0,86.85714285714286,9.387755102040813,94.0,32.065,186.207,154.142,69.66914285714286,49.84820408163265,35.453,171.6,3459.0,3287.4,750.9171428571427,773.7379591836734,171.6,7.0,17.0,10.0,15.285714285714286,2.3673469387755097,17.0,3.0,6.0,3.0,3.7142857142857144,1.0204081632653061,3.0,102.0,151.0,49.0,114.57142857142857,17.10204081632653,102.0,1.9,3.16,1.2600000000000002,2.7457142857142856,0.4734693877551021,3.16,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,4.0,1.1428571428571428,5.0,0.0,10.0,10.0,2.142857142857143,3.0612244897959187,0.0,0.0,14.0,14.0,2.0,3.4285714285714284,0.0,6.0,21.0,15.0,10.142857142857142,4.775510204081633,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.1428571428571428,0.4897959183673469,1.0,0.0,5.0,5.0,0.7142857142857143,1.2244897959183674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.8571428571428572,0.979591836734694,1.0,14.655,34.7633333333,20.108333333299996,24.742172619042858,3.161675170061225,24.4975,0.0,2.493,2.493,1.8054285714285714,0.8991020408163265,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,96.0,44.0,64.0
mp-1219554,RbLiZnS2,Li-Rb-S-Zn,"['Li', 'Rb', 'S', 'Zn']",4,5,111.49661651958507,3.30550831182563,Tetragonal,I-4m2,119,2.5255,True,False,1.03850678,4.37457112,6.151003269999999,10.52557439,2.091547541893322,,,-3.811901705999999,-1.327102511166665,0.0,True,-0.048425594333332,1.58e-05,1.4170833603031024e-07,NM,0,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Rb+', 'Zn2+', 'Li+', 'S2-']",{},0.0448444101361741,False,True,False,True,True,Janela IBSC (1.8–2.6 eV),True,False,False,"['mp-1787938', 'mp-1445201', 'mp-1219554', 'mp-1541730', 'mp-1540165']",GGA,kesterita,True,3.0,37.0,34.0,20.4,10.48,16.0,1.0,88.0,87.0,50.0,38.0,88.0,6.941,85.4678,78.5268,44.383759999999995,24.832112,32.065,312.46,692.68,380.21999999999997,447.11,100.85999999999999,388.36,1.0,16.0,15.0,9.2,6.56,16.0,2.0,5.0,3.0,3.4,0.8800000000000001,3.0,105.0,220.0,115.0,136.0,33.6,105.0,0.82,2.58,1.7600000000000002,1.722,0.6864000000000001,2.58,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,1.6,1.9200000000000004,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,5.2,3.3599999999999994,6.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,0.8,0.9600000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.64,2.0,13.96,90.7225,76.76249999999999,34.56991666666,22.461033333336,25.786875,0.0,2.202,2.202,0.8808,1.0569600000000001,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,229.0,159.0,158.4,70.72,70.0
mp-1219557,RbMnCuS2,Cu-Mn-Rb-S,"['Cu', 'Mn', 'Rb', 'S']",4,5,109.92790064882304,4.049566798249158,Tetragonal,I-4m2,119,0.1549,False,False,3.91967195,5.786233253333333,5.365492886666665,11.15172614,2.405459052516449,,,-5.426699002,-0.923388710086207,0.0,True,-0.057656197999999,5.0010134,0.045493576885237,FM,2,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Cu+', 'Rb+', 'Mn2+', 'S2-']",{},0.0454843581155348,False,False,False,False,True,Gap estreito (<0.7 eV),True,False,False,"['mp-1540575', 'mp-2100502', 'mp-1539551', 'mp-1383881', 'mp-1624241', 'mp-1804988', 'mp-2310366', 'mp-1760421', 'mp-1219557']",GGA,kesterita,True,16.0,37.0,21.0,24.6,6.88,16.0,4.0,88.0,84.0,59.2,24.96,88.0,32.065,85.4678,53.4028,53.616369,17.2410952,32.065,312.46,1519.0,1206.54,793.1899999999999,516.156,388.36,1.0,16.0,15.0,10.2,4.96,16.0,3.0,5.0,2.0,3.8,0.64,3.0,105.0,220.0,115.0,140.2,31.919999999999995,105.0,0.82,2.58,1.7600000000000002,1.886,0.5608000000000001,2.58,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,1.6,1.9200000000000004,4.0,0.0,10.0,10.0,3.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0,6.2,2.24,6.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,0.8,0.9600000000000002,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.2,1.12,2.0,10.4875862069,90.7225,80.23491379309999,32.77076724138,23.180693103448,25.786875,0.0,2.202,2.202,0.8808,1.0569600000000001,2.202,0.0,0.000310120689655,0.000310120689655,6.2024137931e-05,9.923862068959999e-05,0.0,70.0,229.0,159.0,162.2,73.76,70.0
mp-1225887,CsLiZnS2,Cs-Li-S-Zn,"['Cs', 'Li', 'S', 'Zn']",4,5,119.2130347431588,3.752316748058588,Tetragonal,I-4m2,119,2.5019,True,False,3.95145796,4.524202006666667,6.262869843333334,10.787071849999998,2.127017161817616,,,-3.79783172,-1.3275438255977,0.0,True,-0.053518349333332,0.000131999999999,1.107261469220965e-06,NM,0,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Zn2+', 'S2-', 'Cs+', 'Li+']",{},0.0419417223189759,False,True,False,True,True,Janela IBSC (1.8–2.6 eV),True,False,False,"['mp-1225887', 'mp-1539759', 'mp-1927573', 'mp-1388485', 'mp-1542515']",GGA,kesterita,True,3.0,55.0,52.0,24.0,14.8,16.0,1.0,88.0,87.0,50.2,37.760000000000005,88.0,6.941,132.9054519,125.9644519,53.871290380000005,36.217148456000004,32.065,301.59,692.68,391.09,444.93600000000004,102.5992,388.36,1.0,16.0,15.0,9.2,6.56,16.0,2.0,6.0,4.0,3.6,1.12,3.0,105.0,244.0,139.0,140.8,41.28000000000001,105.0,0.79,2.58,1.79,1.716,0.6912,2.58,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,1.6,1.9200000000000004,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,5.2,3.3599999999999994,6.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,0.8,0.9600000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.64,2.0,13.96,115.765,101.805,39.578416666660004,30.474633333336005,25.786875,0.0,2.202,2.202,0.8808,1.0569600000000001,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,229.0,159.0,158.4,70.72,70.0
mp-1225894,CsLiMnS2,Cs-Li-Mn-S,"['Cs', 'Li', 'Mn', 'S']",4,5,122.50984672107538,3.50941290450225,Tetragonal,I-4m2,119,0.809299999999999,False,False,3.5505405,4.611722346666666,6.09485956,10.706581906666663,2.147492106310676,,,-5.299377454,-1.248635223183907,0.0,True,-0.053341542000001,5.0023852,0.04083251537641,FM,1,,,,,True,False,"['materials', 'thermo', 'xas', 'grain_boundaries', 'chemenv', 'electronic_structure', 'absorption', 'bandstructure', 'dos', 'magnetism', 'elasticity', 'dielectric', 'piezoelectric', 'surface_properties', 'oxi_states', 'provenance', 'charge_density', 'eos', 'phonon', 'insertion_electrodes', 'substrates']","['Mn2+', 'S2-', 'Cs+', 'Li+']",{},0.0408130459209843,False,False,True,False,True,PV ampliado inferior (0.7–1.0 eV),True,False,False,"['mp-1395391', 'mp-1541923', 'mp-1225894', 'mp-1543108', 'mp-1805347']",GGA,kesterita,True,3.0,55.0,52.0,23.0,13.6,16.0,1.0,88.0,87.0,46.8,35.04,88.0,6.941,132.9054519,125.9644519,51.78289938,33.711079256000005,32.065,301.59,1519.0,1217.41,610.2,363.52000000000004,388.36,1.0,16.0,15.0,8.2,6.24,16.0,2.0,6.0,4.0,3.6,1.12,3.0,105.0,244.0,139.0,144.2,39.919999999999995,105.0,0.79,2.58,1.79,1.6960000000000002,0.7072,2.58,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,1.6,1.9200000000000004,4.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,4.2,2.5599999999999996,6.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,0.8,0.9600000000000002,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.2,1.12,2.0,10.4875862069,115.765,105.2774137931,38.88393390804,30.752426436784003,25.786875,0.0,2.202,2.202,0.8808,1.0569600000000001,2.202,0.0,0.000310120689655,0.000310120689655,6.2024137931e-05,9.923862068959999e-05,0.0,70.0,229.0,159.0,163.0,74.4,70.0
